#Function	Subsystem	Classification 1	Classification 2
Transition state regulatory protein AbrB	Poly-gamma-glutamate_biosynthesis	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine; ammonia assimilation
Putative transition state regulator Abh	Poly-gamma-glutamate_biosynthesis	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine; ammonia assimilation
Hypothetical protein in predicted poly-gamma-glutamate synthase operon	Poly-gamma-glutamate_biosynthesis	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine; ammonia assimilation
Major facilitator superfamily (MFS) transporter in predicted poly-gamma-glutamate synthase operon	Poly-gamma-glutamate_biosynthesis	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine; ammonia assimilation
Gamma-glutamyltranspeptidase PgsD/CapD (EC 2.3.2.2), catalyses PGA anchorage to peptidoglycan	Poly-gamma-glutamate_biosynthesis	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine; ammonia assimilation
transcriptional activator AtxA, (pXO1-119)	Poly-gamma-glutamate_biosynthesis	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine; ammonia assimilation
Capsule synthesis positive regulator AcpA	Poly-gamma-glutamate_biosynthesis	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine; ammonia assimilation
Capsule synthesis positive regulator AcpB	Poly-gamma-glutamate_biosynthesis	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine; ammonia assimilation
Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)	Lipoate__transport	Cofactors, Vitamins, Prosthetic Groups, Pigments	Lipoic acid
Dihydrolipoamide succinyltransferase component (E2) of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61)	Lipoate__transport	Cofactors, Vitamins, Prosthetic Groups, Pigments	Lipoic acid
Lipoate synthase	Lipoate__transport	Cofactors, Vitamins, Prosthetic Groups, Pigments	Lipoic acid
Octanoate-[acyl-carrier-protein]-protein-N-octanoyltransferase	Lipoate__transport	Cofactors, Vitamins, Prosthetic Groups, Pigments	Lipoic acid
Proposed lipoate regulatory protein YbeD	Lipoate__transport	Cofactors, Vitamins, Prosthetic Groups, Pigments	Lipoic acid
Dihydrolipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex (EC 2.3.1.168)	Lipoate__transport	Cofactors, Vitamins, Prosthetic Groups, Pigments	Lipoic acid
Glycine dehydrogenase [decarboxylating] (glycine cleavage system P2 protein) (EC 1.4.4.2)	Lipoate__transport	Cofactors, Vitamins, Prosthetic Groups, Pigments	Lipoic acid
Lipoate-protein ligase A	Lipoate__transport	Cofactors, Vitamins, Prosthetic Groups, Pigments	Lipoic acid
Dihydrolipoamide acetyltransferase component (E2) of acetoin dehydrogenase complex (EC 2.3.1.-)	Lipoate__transport	Cofactors, Vitamins, Prosthetic Groups, Pigments	Lipoic acid
Glycine dehydrogenase [decarboxylating] (glycine cleavage system P protein) (EC 1.4.4.2)	Lipoate__transport	Cofactors, Vitamins, Prosthetic Groups, Pigments	Lipoic acid
Transmembrane protein MT2276, clustered with lipoate gene	Lipoate__transport	Cofactors, Vitamins, Prosthetic Groups, Pigments	Lipoic acid
Lipoate-protein ligase A, C-terminal 70 percent	Lipoate__transport	Cofactors, Vitamins, Prosthetic Groups, Pigments	Lipoic acid
Lipoate-protein ligase A, N-terminal 30 percent	Lipoate__transport	Cofactors, Vitamins, Prosthetic Groups, Pigments	Lipoic acid
Lipoate-protein ligase A type 2	Lipoate__transport	Cofactors, Vitamins, Prosthetic Groups, Pigments	Lipoic acid
Lipoate synthase, cyanobacterial paralog	Lipoate__transport	Cofactors, Vitamins, Prosthetic Groups, Pigments	Lipoic acid
Poly-gamma-glutamate synthase subunit PgsA/CapA (EC 6.3.2.-)	Poly-gamma-glutamate_biosynthesis_COPY	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine; ammonia assimilation
Poly-gamma-glutamate synthase subunit PgsB/CapB (EC 6.3.2.-)	Poly-gamma-glutamate_biosynthesis_COPY	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine; ammonia assimilation
Poly-gamma-glutamate synthase subunit PgsC/CapC (EC 6.3.2.-)	Poly-gamma-glutamate_biosynthesis_COPY	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine; ammonia assimilation
Poly-gamma-glutamate synthase subunit PgsE/CapE (EC 6.3.2.-)	Poly-gamma-glutamate_biosynthesis_COPY	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine; ammonia assimilation
Gamma-DL-glutamyl hydrolase PgsS (EC 3.4.19.-), catalyzes PGA release	Poly-gamma-glutamate_biosynthesis_COPY	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine; ammonia assimilation
Gamma-glutamyltranspeptidase (EC 2.3.2.2)	Poly-gamma-glutamate_biosynthesis_COPY	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine; ammonia assimilation
Glutamate racemase (EC 5.1.1.3)	Poly-gamma-glutamate_biosynthesis_COPY	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine; ammonia assimilation
Transition state regulatory protein AbrB	Poly-gamma-glutamate_biosynthesis_COPY	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine; ammonia assimilation
Putative transition state regulator Abh	Poly-gamma-glutamate_biosynthesis_COPY	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine; ammonia assimilation
NAD-dependent malic enzyme (EC 1.1.1.38)	Poly-gamma-glutamate_biosynthesis_COPY	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine; ammonia assimilation
NADP-dependent malic enzyme (EC 1.1.1.40)	Poly-gamma-glutamate_biosynthesis_COPY	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine; ammonia assimilation
Malate permease	Poly-gamma-glutamate_biosynthesis_COPY	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine; ammonia assimilation
Malate-2H(+)/Na(+)-lactate antiporter YqkI/MleN	Poly-gamma-glutamate_biosynthesis_COPY	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine; ammonia assimilation
Oxaloacetate decarboxylase involved in citrate fermentation (EC 4.1.1.3)	Poly-gamma-glutamate_biosynthesis_COPY	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine; ammonia assimilation
Aspartate ammonia-lyase (EC 4.3.1.1)	Poly-gamma-glutamate_biosynthesis_COPY	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine; ammonia assimilation
L-asparaginase I, cytoplasmic (EC 3.5.1.1)	Poly-gamma-glutamate_biosynthesis_COPY	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine; ammonia assimilation
L-asparaginase (EC 3.5.1.1)	Poly-gamma-glutamate_biosynthesis_COPY	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine; ammonia assimilation
L-malate or citrate/H+ symporter CimH (TC 2.A.24.2.4)	Poly-gamma-glutamate_biosynthesis_COPY	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine; ammonia assimilation
Hypothetical protein in predicted poly-gamma-glutamate synthase operon	Poly-gamma-glutamate_biosynthesis_COPY	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine; ammonia assimilation
Major facilitator superfamily (MFS) transporter in predicted poly-gamma-glutamate synthase operon	Poly-gamma-glutamate_biosynthesis_COPY	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine; ammonia assimilation
Gamma-glutamyltranspeptidase PgsD/CapD (EC 2.3.2.2), catalyses PGA anchorage to peptidoglycan	Poly-gamma-glutamate_biosynthesis_COPY	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine; ammonia assimilation
transcriptional activator AtxA, (pXO1-119)	Poly-gamma-glutamate_biosynthesis_COPY	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine; ammonia assimilation
Capsule synthesis positive regulator AcpA	Poly-gamma-glutamate_biosynthesis_COPY	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine; ammonia assimilation
Capsule synthesis positive regulator AcpB	Poly-gamma-glutamate_biosynthesis_COPY	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine; ammonia assimilation
Citrate-sodium symporter (TC 2.A.24.1.1)	Poly-gamma-glutamate_biosynthesis_COPY	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine; ammonia assimilation
Alkyl hydroperoxide reductase protein C (EC 1.6.4.-)	Oxygen_stress_response_/_Human_gut_microbiome		
Non-specific DNA-binding protein Dps / Iron-binding ferritin-like antioxidant protein / Ferroxidase (EC 1.16.3.1)	Oxygen_stress_response_/_Human_gut_microbiome		
Glutamate--cysteine ligase (EC 6.3.2.2)	Oxygen_stress_response_/_Human_gut_microbiome		
Thioredoxin	Oxygen_stress_response_/_Human_gut_microbiome		
Thioredoxin reductase (EC 1.8.1.9)	Oxygen_stress_response_/_Human_gut_microbiome		
Alkyl hydroperoxide reductase protein F (EC 1.6.4.-)	Oxygen_stress_response_/_Human_gut_microbiome		
Manganese superoxide dismutase (EC 1.15.1.1)	Oxygen_stress_response_/_Human_gut_microbiome		
NADH peroxidase (EC 1.11.1.1)	Oxygen_stress_response_/_Human_gut_microbiome		
Superoxide dismutase [Fe] (EC 1.15.1.1)	Oxygen_stress_response_/_Human_gut_microbiome		
Superoxide dismutase [Cu-Zn] precursor (EC 1.15.1.1)	Oxygen_stress_response_/_Human_gut_microbiome		
Catalase (EC 1.11.1.6) / Peroxidase (EC 1.11.1.7)	Oxygen_stress_response_/_Human_gut_microbiome		
Catalase (EC 1.11.1.6)	Oxygen_stress_response_/_Human_gut_microbiome		
Glutathione reductase (EC 1.8.1.7)	Oxygen_stress_response_/_Human_gut_microbiome		
Glutathione synthetase (EC 6.3.2.3)	Oxygen_stress_response_/_Human_gut_microbiome		
Glutathione biosynthesis bifunctional protein gshF (EC 6.3.2.2)(EC 6.3.2.3)	Oxygen_stress_response_/_Human_gut_microbiome		
Alkylhydroperoxidase protein D	Oxygen_stress_response_/_Human_gut_microbiome		
Fumarylacetoacetate hydrolase family protein	Gentisate_degradation	Metabolism of Aromatic Compounds	
Maleylacetoacetate isomerase (EC 5.2.1.2)	Gentisate_degradation	Metabolism of Aromatic Compounds	
4-hydroxybenzoate transporter	Gentisate_degradation	Metabolism of Aromatic Compounds	
Fumarylacetoacetase (EC 3.7.1.2)	Gentisate_degradation	Metabolism of Aromatic Compounds	
Gentisate 1,2-dioxygenase (EC 1.13.11.4)	Gentisate_degradation	Metabolism of Aromatic Compounds	
Putative n-hydroxybenzoate hydroxylase	Gentisate_degradation	Metabolism of Aromatic Compounds	
Maleate cis-trans isomerase (EC 5.2.1.1)	Gentisate_degradation	Metabolism of Aromatic Compounds	
putative 4-hydroxybenzoyl-CoA thioesterase	Gentisate_degradation	Metabolism of Aromatic Compounds	
Salicylate hydroxylase (EC 1.14.13.1)	Gentisate_degradation	Metabolism of Aromatic Compounds	
2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases	Gentisate_degradation	Metabolism of Aromatic Compounds	
2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)	Gentisate_degradation	Metabolism of Aromatic Compounds	
Glycerol uptake facilitator protein	Glycerol_fermentation_to_1,3-propanediol	Carbohydrates	Sugar alcohols
Dihydroxyacetone kinase, ATP-dependent (EC 2.7.1.29)	Glycerol_fermentation_to_1,3-propanediol	Carbohydrates	Sugar alcohols
Cob(I)alamin adenosyltransferase (EC 2.5.1.17)	Glycerol_fermentation_to_1,3-propanediol	Carbohydrates	Sugar alcohols
ATP:Cob(I)alamin adenosyltransferase (EC 2.5.1.17)	Glycerol_fermentation_to_1,3-propanediol	Carbohydrates	Sugar alcohols
ATP:Cob(I)alamin adenosyltransferase (EC 2.5.1.17), glycerol fermentation	Glycerol_fermentation_to_1,3-propanediol	Carbohydrates	Sugar alcohols
Glycerol dehydratase large subunit (EC 4.2.1.30)	Glycerol_fermentation_to_1,3-propanediol	Carbohydrates	Sugar alcohols
Glycerol dehydratase medium subunit (EC 4.2.1.30)	Glycerol_fermentation_to_1,3-propanediol	Carbohydrates	Sugar alcohols
Glycerol dehydratase small subunit (EC 4.2.1.30)	Glycerol_fermentation_to_1,3-propanediol	Carbohydrates	Sugar alcohols
Glycerol dehydratase reactivation factor large subunit	Glycerol_fermentation_to_1,3-propanediol	Carbohydrates	Sugar alcohols
Glycerol dehydratase reactivation factor small subunit	Glycerol_fermentation_to_1,3-propanediol	Carbohydrates	Sugar alcohols
1,3-propanediol dehydrogenase (EC 1.1.1.202)	Glycerol_fermentation_to_1,3-propanediol	Carbohydrates	Sugar alcohols
Glycerol dehydrogenase (EC 1.1.1.6)	Glycerol_fermentation_to_1,3-propanediol	Carbohydrates	Sugar alcohols
ATP:Cob(I)alamin adenosyltransferase (EC 2.5.1.17), ethanolamine utilization	Glycerol_fermentation_to_1,3-propanediol	Carbohydrates	Sugar alcohols
Ethanolamine ammonia-lyase heavy chain (EC 4.3.1.7)	Glycerol_fermentation_to_1,3-propanediol	Carbohydrates	Sugar alcohols
Ethanolamine ammonia-lyase light chain (EC 4.3.1.7)	Glycerol_fermentation_to_1,3-propanediol	Carbohydrates	Sugar alcohols
ATP:Cob(I)alamin adenosyltransferase (EC 2.5.1.17), cobalamin synthesis	Glycerol_fermentation_to_1,3-propanediol	Carbohydrates	Sugar alcohols
ATP:Cob(I)alamin adenosyltransferase (EC 2.5.1.17), propanediol utilization	Glycerol_fermentation_to_1,3-propanediol	Carbohydrates	Sugar alcohols
Propanediol dehydratase large subunit (EC 4.2.1.28)	Glycerol_fermentation_to_1,3-propanediol	Carbohydrates	Sugar alcohols
Propanediol dehydratase medium subunit (EC 4.2.1.28)	Glycerol_fermentation_to_1,3-propanediol	Carbohydrates	Sugar alcohols
Propanediol dehydratase small subunit (EC 4.2.1.28)	Glycerol_fermentation_to_1,3-propanediol	Carbohydrates	Sugar alcohols
Propanediol dehydratase reactivation factor large subunit	Glycerol_fermentation_to_1,3-propanediol	Carbohydrates	Sugar alcohols
Propanediol dehydratase reactivation factor small subunit	Glycerol_fermentation_to_1,3-propanediol	Carbohydrates	Sugar alcohols
CoA-acylating propionaldehyde dehydrogenase	Glycerol_fermentation_to_1,3-propanediol	Carbohydrates	Sugar alcohols
Propanediol diffusion facilitator	Glycerol_fermentation_to_1,3-propanediol	Carbohydrates	Sugar alcohols
Propanediol utilization protein PduM	Glycerol_fermentation_to_1,3-propanediol	Carbohydrates	Sugar alcohols
Cob(I)alamin adenosyltransferase PduO (EC 2.5.1.17)	Glycerol_fermentation_to_1,3-propanediol	Carbohydrates	Sugar alcohols
Glucokinase (EC 2.7.1.2)	Glycolysis_test	Carbohydrates	Central carbohydrate metabolism
Glucose-6-phosphate isomerase (EC 5.3.1.9)	Glycolysis_test	Carbohydrates	Central carbohydrate metabolism
6-phosphofructokinase (EC 2.7.1.11)	Glycolysis_test	Carbohydrates	Central carbohydrate metabolism
6-phosphofructokinase class II (EC 2.7.1.11)	Glycolysis_test	Carbohydrates	Central carbohydrate metabolism
Fructose-1,6-bisphosphatase, type I (EC 3.1.3.11)	Glycolysis_test	Carbohydrates	Central carbohydrate metabolism
Fructose-1,6-bisphosphatase, GlpX type (EC 3.1.3.11)	Glycolysis_test	Carbohydrates	Central carbohydrate metabolism
Fructose-bisphosphate aldolase class I (EC 4.1.2.13)	Glycolysis_test	Carbohydrates	Central carbohydrate metabolism
Fructose-bisphosphate aldolase class II (EC 4.1.2.13)	Glycolysis_test	Carbohydrates	Central carbohydrate metabolism
Triosephosphate isomerase (EC 5.3.1.1)	Glycolysis_test	Carbohydrates	Central carbohydrate metabolism
NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)	Glycolysis_test	Carbohydrates	Central carbohydrate metabolism
Phosphoglycerate kinase (EC 2.7.2.3)	Glycolysis_test	Carbohydrates	Central carbohydrate metabolism
Enolase (EC 4.2.1.11)	Glycolysis_test	Carbohydrates	Central carbohydrate metabolism
Pyruvate kinase (EC 2.7.1.40)	Glycolysis_test	Carbohydrates	Central carbohydrate metabolism
Phosphoenolpyruvate synthase (EC 2.7.9.2)	Glycolysis_test	Carbohydrates	Central carbohydrate metabolism
Fructose-1,6-bisphosphatase, Bacillus type (EC 3.1.3.11)	Glycolysis_test	Carbohydrates	Central carbohydrate metabolism
NADPH-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.13)	Glycolysis_test	Carbohydrates	Central carbohydrate metabolism
Methylthioribose-1-phosphate isomerase (EC 5.3.1.23)	Omega-amidase_KE2	Miscellaneous	Plant-Prokaryote comparative genomics
Acetylornithine aminotransferase (EC 2.6.1.11)	Omega-amidase_KE2	Miscellaneous	Plant-Prokaryote comparative genomics
Aspartate aminotransferase (EC 2.6.1.1)	Omega-amidase_KE2	Miscellaneous	Plant-Prokaryote comparative genomics
Biosynthetic Aromatic amino acid aminotransferase alpha (EC 2.6.1.57)	Omega-amidase_KE2	Miscellaneous	Plant-Prokaryote comparative genomics
Quinolinate phosphoribosyltransferase [decarboxylating] (EC 2.4.2.19)	Omega-amidase_KE2	Miscellaneous	Plant-Prokaryote comparative genomics
3-dehydroquinate synthase (EC 4.2.3.4)	Omega-amidase_KE2	Miscellaneous	Plant-Prokaryote comparative genomics
Adenylosuccinate synthetase (EC 6.3.4.4)	Omega-amidase_KE2	Miscellaneous	Plant-Prokaryote comparative genomics
Argininosuccinate synthase (EC 6.3.4.5)	Omega-amidase_KE2	Miscellaneous	Plant-Prokaryote comparative genomics
Diaminopimelate decarboxylase (EC 4.1.1.20)	Omega-amidase_KE2	Miscellaneous	Plant-Prokaryote comparative genomics
Diaminopimelate epimerase (EC 5.1.1.7)	Omega-amidase_KE2	Miscellaneous	Plant-Prokaryote comparative genomics
4-hydroxy-tetrahydrodipicolinate reductase (EC 1.17.1.8)	Omega-amidase_KE2	Miscellaneous	Plant-Prokaryote comparative genomics
4-hydroxy-tetrahydrodipicolinate synthase (EC 4.3.3.7)	Omega-amidase_KE2	Miscellaneous	Plant-Prokaryote comparative genomics
LL-diaminopimelate aminotransferase, predicted alternative	Omega-amidase_KE2	Miscellaneous	Plant-Prokaryote comparative genomics
2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I beta (EC 2.5.1.54)	Omega-amidase_KE2	Miscellaneous	Plant-Prokaryote comparative genomics
N-acetyl-gamma-glutamyl-phosphate reductase (EC 1.2.1.38)	Omega-amidase_KE2	Miscellaneous	Plant-Prokaryote comparative genomics
Glutamate N-acetyltransferase (EC 2.3.1.35) / N-acetylglutamate synthase (EC 2.3.1.1)	Omega-amidase_KE2	Miscellaneous	Plant-Prokaryote comparative genomics
Acetylglutamate kinase (EC 2.7.2.8)	Omega-amidase_KE2	Miscellaneous	Plant-Prokaryote comparative genomics
1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase (EC 1.13.11.54)	Omega-amidase_KE2	Miscellaneous	Plant-Prokaryote comparative genomics
Glutamine-dependent 2-keto-4-methylthiobutyrate transaminase	Omega-amidase_KE2	Miscellaneous	Plant-Prokaryote comparative genomics
Omega amidase, Nit2 homolog (EC 3.5.1.3)	Omega-amidase_KE2	Miscellaneous	Plant-Prokaryote comparative genomics
2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117)	Omega-amidase_KE2	Miscellaneous	Plant-Prokaryote comparative genomics
Methionine aminotransferase, PLP-dependent	Omega-amidase_KE2	Miscellaneous	Plant-Prokaryote comparative genomics
L,L-diaminopimelate aminotransferase (EC 2.6.1.83)	Omega-amidase_KE2	Miscellaneous	Plant-Prokaryote comparative genomics
Meso-diaminopimelate D-dehydrogenase (EC 1.4.1.16)	Omega-amidase_KE2	Miscellaneous	Plant-Prokaryote comparative genomics
Putative antibiotic transport-associated protein	CBSS-196620.1.peg.2477	Clustering-based subsystems	
D-specific D-2-hydroxyacid dehydrogenase ddh homolog (EC 1.1.1.28)	CBSS-196620.1.peg.2477	Clustering-based subsystems	
N-succinyldiaminopimelate aminotransferase (EC 2.6.1.17)	CBSS-196620.1.peg.2477	Clustering-based subsystems	
Delta-1-pyrroline-5-carboxylate dehydrogenase (EC 1.5.1.12)	CBSS-196620.1.peg.2477	Clustering-based subsystems	
Maltose O-acetyltransferase (EC 2.3.1.79)	CBSS-196620.1.peg.2477	Clustering-based subsystems	
Ferrous iron transport protein B	CBSS-196620.1.peg.2477	Clustering-based subsystems	
TetR family regulatory protein	CBSS-196620.1.peg.2477	Clustering-based subsystems	
Copper-translocating P-type ATPase (EC 3.6.3.4)	CBSS-196620.1.peg.2477	Clustering-based subsystems	
Hypothetical protein FIG016047	CBSS-196620.1.peg.2477	Clustering-based subsystems	
Hypothetical protein FIG016644	CBSS-196620.1.peg.2477	Clustering-based subsystems	
Copper ion binding protein	CBSS-196620.1.peg.2477	Clustering-based subsystems	
Dehydrosqualene synthase (EC 2.5.1.96)	CBSS-196620.1.peg.2477	Clustering-based subsystems	
Beta-carotene hydroxylase	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Beta-carotene ketolase (EC 1.14.-.-)	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Carotenoid cis-trans isomerase (EC 5.2.-.-)	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Geranylgeranyl pyrophosphate synthetase (EC 2.5.1.29)	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
(2E,6E)-farnesyl diphosphate synthase (EC 2.5.1.10)	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Neurosporene desaturase (EC 1.-.-.-)	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Phytoene desaturase (EC 1.14.99.-)	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Phytoene desaturase, pro-zeta-carotene producing (EC 1.-.-.-)	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Phytoene synthase (EC 2.5.1.32)	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Pro-zeta-carotene desaturase, prolycopene producing (EC 1.-.-.-)	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Squalene--hopene cyclase (EC 5.4.99.17)	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Zeaxanthin glucosyl transferase	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
2-vinyl bacteriochlorophyllide hydratase BchF (EC 4.2.1.-)	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Hydroxyneurosporene methyltransferase (EC 2.1.1.-)	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Hydroxyneurosporene synthase	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Lycopene beta cyclase (EC 1.14.-.-)	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Phytoene dehydrogenase and related proteins	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Lycopene epsilon cyclase	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Phytoene desaturase, neurosporene or lycopene producing (EC 1.3.-.-)	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
"phi-Carotenoid synthase" (EC 1.3.-.- and EC 2.1.1-)	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
CrtT-methyltransferase-like protein	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
CrtV-methyltransferase-like protein	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Dehydrosqualene synthase (EC 2.5.1.96)	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
4,4'-diapolycopene oxidase	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Phytoene dehydrogenase (EC 1.14.99.-)	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Lycopene cyclase	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Lycopene elongase (EC 2.5.1.-)	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
C50 carotenoid epsilon cyclase	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Methoxyneurosporene dehydrogenase (EC 1.14.99.-)	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Regulator of carotenoid biosynthesis	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Hydroxyneurosporene dehydrogenase (EC 1.-.-.-)	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
gamma-carotene desaturase, putative	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
gamma-carotene hydroxylase	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Geranylgeranyl pyrophosphate synthetase (EC 2.5.1.29)	Polyprenyl_Diphosphate_Biosynthesis	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
(2E,6E)-farnesyl diphosphate synthase (EC 2.5.1.10)	Polyprenyl_Diphosphate_Biosynthesis	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Heptaprenyl diphosphate synthase component I (EC 2.5.1.30)	Polyprenyl_Diphosphate_Biosynthesis	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Heptaprenyl diphosphate synthase component II (EC 2.5.1.30)	Polyprenyl_Diphosphate_Biosynthesis	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Octaprenyl diphosphate synthase (EC 2.5.1.90)	Polyprenyl_Diphosphate_Biosynthesis	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Undecaprenyl diphosphate synthase (EC 2.5.1.31)	Polyprenyl_Diphosphate_Biosynthesis	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Solanesyl diphosphate synthase (EC 2.5.1.11)	Polyprenyl_Diphosphate_Biosynthesis	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
4,4'-diaponeurosporenoate glycosyltransferase (EC 2.4.1.-)	Polyprenyl_Diphosphate_Biosynthesis	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Dehydrosqualene desaturase (EC 1.14.99.-) (Diapophytoene desaturase) (4,4'-diapophytoene desaturase)	Polyprenyl_Diphosphate_Biosynthesis	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Dehydrosqualene synthase (EC 2.5.1.96)	Polyprenyl_Diphosphate_Biosynthesis	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Glycosyl-4,4'-diaponeurosporenoate acyltransferase precursor (EC 2.3.1.-)	Polyprenyl_Diphosphate_Biosynthesis	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
2-amino-3-carboxymuconate-6-semialdehyde decarboxylase (EC 4.1.1.45)	Tryptophan_catabolism	Amino Acids and Derivatives	Aromatic amino acids and derivatives
2-aminomuconate deaminase (EC 3.5.99.5)	Tryptophan_catabolism	Amino Acids and Derivatives	Aromatic amino acids and derivatives
2-aminomuconate semialdehyde dehydrogenase (EC 1.2.1.32)	Tryptophan_catabolism	Amino Acids and Derivatives	Aromatic amino acids and derivatives
2-keto-4-pentenoate hydratase (EC 4.2.1.80)	Tryptophan_catabolism	Amino Acids and Derivatives	Aromatic amino acids and derivatives
3-hydroxyanthranilate 3,4-dioxygenase (EC 1.13.11.6)	Tryptophan_catabolism	Amino Acids and Derivatives	Aromatic amino acids and derivatives
